studyDbId,studyName,studyDescription,trialType,breedingProgramDbId,breedingProgramName,breedingProgramDescription,studyYear,studyDesign,locationDbId,locationName,plantingDate,harvestDate,plotWidth,plotLength,plantsPerPlot,numberBlocks,numberReps,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,folderDbId,folderName,folderDescription,managementFactors
7518,BR.AYTGS.20.Ala,Clones selected from Preliminary Yield Trials from recurrent population assisted by genomic selection,Advanced Yield Trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2020,RCBD,444,Alagoinhas (BA),2020-July-28,2021-June-17,3.6,6.4,,3,3,,no,no,7632,BR.AYTGS.20,, No ManagementFactor: 
10530,BR.AYTGS.20.NH,Advanced yield trial - GS C1 population,Advanced Yield Trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2020,RCBD,293,Laje (BA)-Novo Horizonte 1,,,3.6,6.4,,3,1,,no,no,7632,BR.AYTGS.20,, No ManagementFactor: 
7710,BR.AYTGS.20.PP1,Clones Selected from Preliminary Yield Trials from recurrent population assisted by genomic selection,Advanced Yield Trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2020,RCBD,298,Cruz das Almas (BA)-UFRB-PP1,2020-August-20,2021-June-11,3.6,6.4,16,3,3,,no,no,7632,BR.AYTGS.20,, No ManagementFactor: 
7635,BR.AYTGS.20.RA1,Clones selected from Preliminary Yield Trials from recurrent population assisted by genomic selection,Advanced Yield Trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2020,RCBD,294,Laje (BA)-Rio de Areia 1,2020-August-11,2021-July-01,3.6,6.4,,3,3,,no,no,7632,BR.AYTGS.20,, No ManagementFactor: 
10480,BR.BAG-C.PT.13.EA2,BAG 2012/2013 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2013,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,6.4,8,2,2,,no,no,10460,BR2013,, No ManagementFactor: 
10476,BR.BAG.PT.12.Citrus,BAG 2011/2012 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2012,RCBD,501,Cruz Das Almas (BA) CNPMF - Citrus,,,1.8,8,8,11,11,,no,no,10461,BR2012,, No ManagementFactor: 
6392,BR.BAG.PT.19.UFRB,"Training population (T0) at UFRB-Candeal station trial in Cruz das Almas, BA",phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2019,Augmented,37,Cruz Das Almas (BA)-CNPMF-Area 2,2019-June-25,,1.8,8,,15,1,,no,no,4892,BR2019,, No ManagementFactor: 
6237,BR.BAG.TP.19.CNPMF,Embrapa BAG trial at Greenhouse,crossing_block_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2019,CRD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,,,,1,1,,yes,yes,4892,BR2019,, No ManagementFactor: 
10488,BR.BAG1.1.PT.15.EA2,BAG 2014/2015 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2015,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,6.4,8,10,10,,no,no,10464,BR2015,, No ManagementFactor: 
10497,BR.BAG1.1.PT.16.EA2,BAG 2015/2016 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2016,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,6.4,8,10,10,,no,no,10465,BR2016,, No ManagementFactor: 
8634,BR.BAG1.18.UFRB,Phenotyping trial BAG 2018 (NIR data evaluation) at UFRB-Candeal,phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2018,Augmented,299,Cruz das Almas (BA)-UFRB-Candeal,,,1.8,6.4,,22,1,,no,no,4013,BR2018,, No ManagementFactor: 
10489,BR.BAG1.2.PT.15.EA2,BAG 2014/2015 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2015,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,6.4,8,10,10,,no,no,10464,BR2015,, No ManagementFactor: 
10473,BR.BAG1.PT.11.EA1,BAG 2010/2011 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2011,RCBD,500,Cruz Das Almas (BA) - CNPMF - Area 1 (Ladeira maracuja),,,1.8,8,8,3,3,,no,no,10459,BR2011,, No ManagementFactor: 
10474,BR.BAG1.PT.12.EA1,BAG 2011/2012 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2012,RCBD,500,Cruz Das Almas (BA) - CNPMF - Area 1 (Ladeira maracuja),,,1.8,6.4,8,9,9,,no,no,10461,BR2012,, No ManagementFactor: 
10477,BR.BAG1.PT.13.NH1A,BAG 2012/2013 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2013,RCBD,502,Laje (BA)-Novo Horizonte 1A,,,1.8,6.4,8,3,3,,no,no,10460,BR2013,, No ManagementFactor: 
10484,BR.BAG1.PT.14.EA2,BAG 2013/2014 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2014,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,6.4,8,3,3,,no,no,10462,BR2014,, No ManagementFactor: 
10482,BR.BAG1.PT.14.NH1A,BAG 2013/2014 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2014,RCBD,502,Laje (BA)-Novo Horizonte 1A,,,1.8,4.8,8,10,10,,no,no,10462,BR2014,, No ManagementFactor: 
10490,BR.BAG1.PT.15.NH,BAG 2014/2015 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2015,RCBD,293,Laje (BA)-Novo Horizonte 1,,,1.8,6.4,8,12,12,,no,no,10464,BR2015,, No ManagementFactor: 
10496,BR.BAG1.PT.16.EA2,BAG 2015/2016 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2016,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,6.4,8,9,9,,no,no,10465,BR2016,, No ManagementFactor: 
10499,BR.BAG1.PT.17.EA2,BAG 2016/2017 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2017,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,6.4,8,12,12,,yes,no,5632,BR2017,, No ManagementFactor: 
10500,BR.BAG1.PT.18.Candeal,BAG 2017/2018 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2018,RCBD,299,Cruz das Almas (BA)-UFRB-Candeal,,,1.8,6.4,8,12,12,,yes,no,4013,BR2018,, No ManagementFactor: 
10516,BR.BAG2.PT.11.EA1,BAG 2010/2011 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2011,RCBD,500,Cruz Das Almas (BA) - CNPMF - Area 1 (Ladeira maracuja),,,1.8,5.6,8,3,3,,no,no,10459,BR2011,, No ManagementFactor: 
10475,BR.BAG2.PT.12.EA1,BAG 2011/2012 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2012,RCBD,500,Cruz Das Almas (BA) - CNPMF - Area 1 (Ladeira maracuja),,,1.8,6.4,8,6,6,,no,no,10461,BR2012,, No ManagementFactor: 
10478,BR.BAG2.PT.13.PP1,BAG 2012/2013 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2013,RCBD,298,Cruz das Almas (BA)-UFRB-PP1,,,1.8,6.4,8,4,4,,no,no,10460,BR2013,, No ManagementFactor: 
10485,BR.BAG2.PT.14.EA2,BAG 2013/2014 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2014,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,6.4,8,10,10,,no,no,10462,BR2014,, No ManagementFactor: 
10483,BR.BAG2.PT.14.NH1A,BAG 2013/2014 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2014,RCBD,502,Laje (BA)-Novo Horizonte 1A,,,1.8,6.4,8,8,8,,no,no,10462,BR2014,, No ManagementFactor: 
10486,BR.BAG2.PT.14.PP1,BAG 2013/2014 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2014,RCBD,298,Cruz das Almas (BA)-UFRB-PP1,,,1.8,6.4,8,10,10,,no,no,10462,BR2014,, No ManagementFactor: 
10491,BR.BAG2.PT.15.NR,BAG 2014/2015 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2015,RCBD,428,Laje (BA)-Novo Rumo,,,1.8,6.4,8,6,6,,no,no,10464,BR2015,, No ManagementFactor: 
10493,BR.BAG2.PT.15.PP1,BAG 2014/2015 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2015,RCBD,298,Cruz das Almas (BA)-UFRB-PP1,,,1.8,6.4,8,10,20,,no,no,10464,BR2015,, No ManagementFactor: 
10479,BR.BAG3.PT.13.EA2,BAG 2012/2013 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2013,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,6.4,8,2,2,,no,no,10460,BR2013,, No ManagementFactor: 
