ordem	GID
1	BR-21GS-C3-157-14
2	BR-21GS-C3-061-1
3	BR-21GS-C3-287-9
4	BR-21GS-C3-286-14
5	BR-21GS-C3-175-75
6	BR-21GS-C3-114-5
7	BR-21GS-C3-104-63
8	BR-21GS-C3-162-13
9	BR-21GS-C3-103-5
10	BR-21GS-C3-104-33
11	BR-21GS-C3-130-4
12	BR-21GS-C3-100-2
13	BR-21GS-C3-175-7
14	BR-21GS-C3-286-24
15	BR-21GS-C3-132-4
16	BR-21GS-C3-217-6
17	BR-21GS-C3-267-2
18	BR-21GS-C3-217-10
19	BR-21GS-C3-069-3
20	BR-21GS-C3-288-9
21	BR-21GS-C3-162-1
22	BR-21GS-C3-288-30
23	BR-21GS-C3-106-6
24	BR-21GS-C3-286-31
25	BR-21GS-C3-228-16
26	BR-21GS-C3-078-6
27	BR-21GS-C3-130-1
28	BR-21GS-C3-162-17
29	BR-21GS-C3-104-19
30	BR-21GS-C3-132-18
31	BR-21GS-C3-032-55
32	BR-21GS-C3-228-13
33	BR-21GS-C3-040-1
34	BR-21GS-C3-221-2
35	BR-21GS-C3-289-7
36	BR-21GS-C3-292-22
37	BR-21GS-C3-133-1
38	BR-21GS-C3-177-1
39	BR-21GS-C3-177-5
40	BR-21GS-C3-118-2
41	BR-21GS-C3-104-13
42	BR-21GS-C3-251-3
43	BR-21GS-C3-207-15
44	BR-21GS-C3-070-4
45	BR-21GS-C3-288-28
46	BR-21GS-C3-270-1
47	BR-21GS-C3-061-27
48	BR-21GS-C3-127-3
49	BR-21GS-C3-087-8
50	BR-21GS-C3-118-4
51	BR-21GS-C3-142-1
52	BR-21GS-C3-287-11
53	BR-21GS-C3-250-8
54	BR-21GS-C3-228-12
55	BR-21GS-C3-070-11
56	BR-21GS-C3-132-1
57	BR-21GS-C3-162-18
58	BR-21GS-C3-055-8
59	BR-21GS-C3-056-2
60	BR-21GS-C3-175-27
61	BR-21GS-C3-265-9
62	BR-21GS-C3-104-47
63	BR-21GS-C3-292-24
64	BR-21GS-C3-199-7
65	BR-21GS-C3-059-33
66	BR-21GS-C3-141-12
67	BR-21GS-C3-073-1
68	BR-21GS-C3-296-2
69	BR-21GS-C3-265-8
70	BR-21GS-C3-158-3
71	BR-21GS-C3-148-1
72	BR-21GS-C3-155-10
73	BR-21GS-C3-126-6
74	BR-21GS-C3-122-8
75	BR-21GS-C3-292-33
76	BR-21GS-C3-141-5
77	BR-21GS-C3-266-11
78	BR-21GS-C3-113-1
79	BR-21GS-C3-057-29
80	BR-21GS-C3-133-4
81	BR-21GS-C3-061-16
82	BR-21GS-C3-117-2
83	BR-21GS-C3-117-3
84	BR-21GS-C3-153-3
85	BR-21GS-C3-115-8
86	BR-21GS-C3-122-6
87	BR-21GS-C3-268-5
88	BR-21GS-C3-201-1
89	BR-21GS-C3-298-1
90	BR-21GS-C3-122-3
91	BR-21GS-C3-159-11
92	BR-21GS-C3-096-12
93	BR-21GS-C3-239-3
94	BR-21GS-C3-217-9
95	BR-21GS-C3-104-58
96	BR-21GS-C3-175-82
97	BR-21GS-C3-210-1
98	BR-21GS-C3-087-2
99	BR-21GS-C3-221-15
100	BR-21GS-C3-157-1
101	BR-21GS-C3-140-2
102	BR-21GS-C3-221-1
103	BR-18GS-001.1
104	BR-18GS-001.20
105	BR-18GS-001.3
106	BR-18GS-032.3
107	BR-18GS-063.33
108	BR-18GS-063.36
109	BR-18GS-085.83
110	BR-18GS-099.28
111	BR-18GS-109.10
112	BR-18GS-111.57
113	BR-18GS-128.24
114	BR-18GS-131.17
115	BR-18GS-131.23
116	BR-18GS-134.29
117	BR-19GS-024-25
118	BR-19GS-030-39
119	BR-19GS-037-24
120	BR-19GS-042-12
121	BR-19GS-042-6
122	BR-19GS-048-18
123	BR-21GS-C3-286-1
124	BR-21GS-C3-114-4
125	BR-21GS-C3-285-7
126	BR-21GS-C3-175-55
127	BR-21GS-C3-104-57
128	BR-21GS-C3-292-30
129	BR-21GS-C3-221-6
130	BR-21GS-C3-151-3
131	BR-21GS-C3-100-6
132	BR-21GS-C3-104-30
133	BR-21GS-C3-175-79
134	BR-21GS-C3-024-43
135	BR-21GS-C3-140-5
136	BR-21GS-C3-288-5
137	BR-21GS-C3-104-26
138	BR-21GS-C3-207-17
139	BR-21GS-C3-146-21
140	BR-21GS-C3-032-49
141	BR-21GS-C3-091-4
142	BR-21GS-C3-173-1
143	BR-21GS-C3-285-4
