GID,predOf,DMCg,logFSY,logFRY,PA,StC,Anthractnose,ManchaBranca,ManchaParda,QueimaFolhas
Aciolina,GEBV,-3.800921623,-0.572157802,-0.316509428,-0.484038029,-2.75420903,0,0.024333155,-0.044374827,-0.004934466
Aipim-Abacate-2,GEBV,0.246799313,0.012129407,0.176574764,-0.458153926,0.582717185,0,0.041185838,-0.017366863,-0.000913936
Aipim-Brasilia,GEBV,-2.845129227,-0.306669408,-0.192392776,-0.58003692,-1.013296216,0,-0.052422619,-0.045278414,-0.001301201
Aipim-Eucalipto-NV,GEBV,-1.170054108,-0.613421344,-0.370212202,-0.176178821,-1.580095466,0,0.03034744,-0.044251387,-0.002584336
Aipim-Guanambi,GEBV,-0.339441723,-0.186944451,-0.121555148,0.239573454,-0.402195206,0,-0.022315213,-0.027564328,-0.000301142
Aipim-Ze-Marcos(1),GEBV,-0.931674261,-0.303464446,-0.182378144,-0.217413834,-0.360625121,0,-0.08986088,-0.031553799,0.001588459
Alemao-Aracruz,GEBV,-1.856290748,-0.360482281,-0.154946186,0.166784596,-0.766147258,0,0.088304166,0.025632953,0.004354866
AM-Jaeve-RN,GEBV,-0.868555099,-0.007368876,-0.028548303,0.829328073,-0.351635004,0,0.108226152,0.031063898,0.006753297
Amarela,GEBV,-1.386460607,-0.55921728,-0.382097196,0.100559319,-1.556535975,0,0.035648664,-0.044572495,-0.002780402
Amarela-DSL,GEBV,-1.214106392,-0.323091147,-0.226084461,-0.110570167,-0.390060422,0,-0.080618264,-0.028522895,0.001948927
Amarelinha,GEBV,-2.650674258,-0.244874588,0.026367928,-0.50397774,-0.593788712,0,0.014015487,-0.010492351,0.001818867
Baiana,GEBV,-2.682694246,-0.21315802,-0.223134956,0.058967759,-0.669420721,0,-0.029114767,-0.032350944,-0.001014612
Baianinha,GEBV,-3.490180365,-0.731297354,-0.139261011,-0.102556429,-1.223760756,0,0.070911122,0.104937359,0.011369761
BGM-0004,GEBV,1.69819901,0.146258105,-0.239926488,0.584324977,0.146126745,0,0.116758707,0.056608868,0.006591188
BGM-0005,GEBV,0.186329503,-0.244501615,-0.871990671,0.937506863,1.151746038,0,0.28336865,0.053428939,0.006425095
BGM-0006,GEBV,-2.642382414,-0.39104419,-0.097961699,-0.281541136,-0.812018621,0,0.179394048,-0.024019918,-0.005797204
BGM-0014,GEBV,-2.204104075,-0.34586185,-0.384136088,0.219862731,-1.31463392,0,0.048524828,-0.006762268,0.0002391
BGM-0017,GEBV,-3.208433534,-0.859558391,-0.186826926,-0.587798765,-1.589843119,0,0.073013328,0.102825712,0.010746615
BGM-0018,GEBV,1.892706394,0.201758617,-0.054118339,-0.446141517,1.107751609,0,-0.129913578,-0.058345394,-0.00581829
BGM-0019,GEBV,1.047176393,-0.0601434,-0.36678079,1.004720089,0.59947929,0,-0.096827038,-0.011458894,-0.009326099
BGM-0020,GEBV,-1.390369179,-0.280033513,-0.023110549,0.098988429,-0.902991397,0,0.124247225,0.079313184,0.006878318
BGM-0021,GEBV,1.565713321,0.032548663,-0.065924225,-0.200955599,0.394073591,0,-0.028318014,-0.187269478,-0.021245051
BGM-0022,GEBV,-0.533366056,-0.154540617,-0.366869134,0.474048764,0.230994413,0,0.064082887,0.079735616,0.004098907
BGM-0022-TR,GEBV,0.568441659,-0.408097805,-0.225636792,0.616338645,-1.243725386,0,-0.085612496,-0.009303763,-0.002929595
BGM-0022-TB,GEBV,0.782302047,-0.333070292,-0.235989337,0.320046999,2.600625384,0,0.076231629,-0.014065632,-0.003585801
BGM-0023,GEBV,-1.347076014,0.189562468,0.141074078,-0.719920638,-0.906944234,0,0.169836756,0.018720947,0.002677157
BGM-0024,GEBV,0.541921013,0.004991152,-0.221745046,0.583580479,-0.535998935,0,0.101024721,0.043776324,0.006743614
BGM-0025,GEBV,-0.71644651,0.157279113,-0.018226561,-0.262723159,-1.159885184,0,0.207042672,0.102865763,0.015345116
BGM-0027,GEBV,1.802369592,0.267259048,0.183181407,-0.377175934,0.105557123,0,0.186597326,-0.095098366,-0.009237815
BGM-0028,GEBV,1.578068836,-0.494257175,-0.806543507,0.617616049,-0.474562131,0,0.074507079,-0.019501418,-0.006498782
BGM-0029,GEBV,-0.712301795,0.194623408,-1.42E-05,0.746460301,-0.01451723,0,0.029930499,0.006277661,-0.003874866
BGM-0030,GEBV,-1.207661104,0.077623187,-0.082155331,0.685846545,-0.362376019,0,0.029371424,0.020032746,0.004549777
BGM-0031,GEBV,-1.414440857,0.120724689,0.059749729,0.225808652,-0.970851987,0,0.05101075,-0.02288129,-0.002647899
BGM-0032,GEBV,-0.209398916,0.036255381,-0.047295478,-0.051099658,-0.826146665,0,0.020561017,-0.0463516,-0.005334763
BGM-0036,GEBV,1.829242472,0.056380925,0.156607432,0.616572511,0.162739679,0,0.204053956,0.036984926,0.001313554
BGM-0037,GEBV,0.604003751,-0.134822914,0.055023135,-0.856113757,0.274746773,0,-0.005894194,-0.060524593,-0.004833989
BGM-0039,GEBV,2.359120274,0.481514838,0.335150592,-0.89354531,0.196567192,0,0.147829224,-0.036920212,-0.002021867
BGM-0040,GEBV,-1.083652521,0.155218014,0.160654748,-0.698252848,0.320967113,0,0.08015208,0.032638942,0.002776076
BGM-0042,GEBV,-3.154602274,-0.265806232,-0.677044376,-0.04030863,-1.004892804,0,0.085792242,-0.007525139,0.000936367
BGM-0043,GEBV,-2.821152858,-0.097326523,-0.065519444,0.078339748,-0.408509595,0,0.194530514,0.0045645,-0.002875128
BGM-0043(1),GEBV,-2.513694662,-0.209432507,-0.067659241,0.119744589,-0.578547088,0,0.155966964,-0.009508965,-0.003345523
