GID,predOf,DMCg,logFSY,logFRY,PA,StC,Anthractnose,ManchaBranca,ManchaParda,QueimaFolhas
BR-21GS-C3-002-6,GEBV,0.538861189,0.179700374,0.156476505,-0.054922895,-1.101676171,0,0.001993413,0.01313386,0.002718101
BR-21GS-C3-010-5,GEBV,0.694783284,0.02578467,0.036467122,-1.443602824,-0.077261379,0,-0.03056999,0.007860868,0.00093767
BR-21GS-C3-014-8,GEBV,0.098934941,-0.001449085,-0.045324173,-0.502611177,-0.130306221,0,-0.017187132,0.044917471,0.003891237
BR-21GS-C3-016-2,GEBV,0.375759633,0.080556101,0.148656124,-0.488359123,0.279862857,0,-0.078503641,0.028122939,0.001995571
BR-21GS-C3-016-23,GEBV,-0.145169903,-0.13920668,0.130091702,-0.743074283,-0.216084255,0,-0.076094373,0.036040999,0.002859721
BR-21GS-C3-018-19,GEBV,1.661304379,0.115926065,0.156722458,-0.157669587,0.022101927,0,-0.029472431,0.027138226,0.002091659
BR-21GS-C3-021-5,GEBV,0.979267174,0.189943456,0.033181427,-0.068414164,0.632007316,0,-0.059330635,0.047622729,0.00380786
BR-21GS-C3-022-8,GEBV,0.4019389,-0.202279401,0.019202951,-0.772789886,0.063975294,0,-0.048450026,0.049044244,0.004343436
BR-21GS-C3-023-7,GEBV,0.981709542,0.029216862,-0.06958428,0.049616093,0.151603607,0,-0.009655294,0.004499904,0.000946047
BR-21GS-C3-024-13,GEBV,1.213544812,0.153041926,-0.041539049,-0.44411279,0.688960603,0,0.003106734,0.03032434,0.001295255
BR-21GS-C3-024-33,GEBV,0.646014162,0.040030215,0.075388638,0.028446,0.188079422,0,-0.006026696,0.029274219,0.001623397
BR-21GS-C3-024-44,GEBV,0.220338615,0.242108908,0.034746224,-0.183863192,0.504835998,0,0.013903497,-0.000288059,-0.000934436
BR-21GS-C3-002-11,GEBV,0.707879217,0.220194652,0.232533294,0.459107883,-1.036586077,0,-0.022005436,0.030766518,0.003762092
BR-21GS-C3-010-7,GEBV,0.61433485,0.122614798,0.159585895,-1.14259292,-1.168878101,0,-0.024558726,0.01869388,0.002624049
BR-21GS-C3-014-11,GEBV,0.717161389,0.120923858,0.157347534,-0.652379812,-0.624800638,0,-0.013421494,0.027833985,0.003129693
BR-21GS-C3-016-3,GEBV,1.138346137,0.038784065,0.063082397,-0.456003597,0.414188711,0,-0.088589969,0.037130705,0.002665163
BR-21GS-C3-017-2,GEBV,0.415424957,-0.098350736,-0.000359656,0.046380582,-0.308987404,0,-0.02751831,0.009873417,0.00186474
BR-21GS-C3-018-20,GEBV,-0.190030212,-0.014643309,-0.18059567,0.105857758,-0.459186075,0,-0.021371878,0.052927016,0.005663855
BR-21GS-C3-021-13,GEBV,0.170656927,0.040475516,-0.043256367,-0.472782275,-0.146276495,0,-0.060358889,0.065425882,0.006302552
BR-21GS-C3-022-10,GEBV,0.095686532,-0.080226594,0.014239517,-0.146748934,0.00360423,0,-0.021647563,0.075005452,0.007368435
BR-21GS-C3-023-8,GEBV,0.759880367,-0.001278154,-0.040908015,-0.559923866,0.222566719,0,-0.028550917,0.036024545,0.001939422
BR-21GS-C3-024-21,GEBV,0.824565662,0.136199688,0.086635015,-0.262677718,0.124825816,0,0.020549969,0.051625428,0.00386261
BR-21GS-C3-024-36,GEBV,1.330359995,0.144810506,-0.032567727,-0.262635781,0.681807587,0,-0.012120691,0.02551879,0.000395846
BR-21GS-C3-024-45,GEBV,0.257531936,0.008280434,0.020164835,-0.006538241,0.338600625,0,0.020022733,0.051998458,0.002835207
BR-21GS-C3-006-3,GEBV,0.712385544,0.116692558,0.190970782,-0.205476203,-0.905531291,0,-0.006301747,-0.006520262,-0.001233935
